Kudos Date,Kudos Type,Parent ID
"Feb 5, 2016, 10:03:31 AM",Activity,486149159
"Feb 5, 2016, 10:04:53 AM",Activity,486059218
"Feb 5, 2016, 10:05:26 AM",Activity,486020251
"Feb 5, 2016, 10:06:02 AM",Activity,485833029
"Feb 5, 2016, 10:07:49 AM",Activity,486166927
"Feb 5, 2016, 10:13:15 AM",Activity,485242785
"Feb 5, 2016, 10:13:33 AM",Activity,484939649
"Feb 14, 2016, 11:42:34 AM",Activity,492719491
"Feb 14, 2016, 11:44:13 AM",Activity,492099534
"Feb 20, 2016, 8:16:25 PM",Activity,498061844
"Feb 20, 2016, 8:17:18 PM",Activity,498047137
"Feb 20, 2016, 8:17:27 PM",Feed Entry,36416749
"Feb 21, 2016, 7:36:08 PM",Activity,499034221
"Feb 21, 2016, 7:36:25 PM",Activity,499107809
"Feb 21, 2016, 7:36:40 PM",Activity,499087940
"Feb 23, 2016, 12:32:06 AM",Activity,500034194
"Feb 23, 2016, 12:32:14 AM",Activity,500034195
"Feb 23, 2016, 12:33:07 AM",Activity,499901439
"Feb 23, 2016, 12:33:36 AM",Activity,499671744
"Feb 23, 2016, 12:34:41 AM",Activity,499353105
"Feb 23, 2016, 12:34:45 AM",Activity,499331770
"Mar 9, 2016, 2:19:46 PM",Activity,512469202
"Mar 9, 2016, 2:19:48 PM",Activity,512475256
"Mar 9, 2016, 2:20:00 PM",Activity,512460554
"Mar 9, 2016, 2:20:16 PM",Activity,512430060
"Mar 11, 2016, 4:03:22 PM",Activity,514027794
"Mar 11, 2016, 4:03:34 PM",Activity,513995072
"Mar 11, 2016, 4:03:46 PM",Activity,513989788
"Mar 12, 2016, 1:52:54 AM",Activity,514397414
"Mar 17, 2016, 5:06:20 PM",Activity,519475016
"Mar 17, 2016, 5:07:02 PM",Activity,519300081
"Mar 17, 2016, 5:07:32 PM",Activity,519280329
"Mar 18, 2016, 9:31:33 AM",Activity,519857975
"Mar 20, 2016, 7:27:42 PM",Activity,521117544
"Mar 20, 2016, 7:27:44 PM",Activity,521214526
"Mar 20, 2016, 7:27:50 PM",Activity,521178953
"Mar 20, 2016, 7:27:53 PM",Activity,521190267
"Mar 20, 2016, 7:29:29 PM",Activity,521159274
"Mar 20, 2016, 7:29:33 PM",Activity,521193240
"Mar 20, 2016, 7:31:40 PM",Activity,521242303
"Mar 23, 2016, 12:59:53 AM",Activity,524206311
"Mar 23, 2016, 1:00:38 AM",Activity,523769385
"Mar 23, 2016, 1:02:17 AM",Activity,522302195
"Mar 23, 2016, 1:02:22 AM",Activity,522442949
"Mar 23, 2016, 12:31:43 PM",Activity,523659679
"Mar 23, 2016, 12:32:04 PM",Activity,521278517
"Mar 23, 2016, 12:32:08 PM",Activity,522538291
"Mar 23, 2016, 12:32:17 PM",Activity,524323992
"Mar 23, 2016, 12:33:22 PM",Activity,520108284
"Mar 23, 2016, 12:33:30 PM",Activity,514839611
"Mar 23, 2016, 12:33:36 PM",Activity,514069384
"Mar 25, 2016, 1:27:55 AM",Activity,525870719
"Mar 25, 2016, 2:36:48 AM",Activity,525792801
"Mar 25, 2016, 2:37:11 AM",Activity,525819703
"Mar 25, 2016, 2:37:13 AM",Activity,525460626
"Mar 25, 2016, 2:37:34 AM",Activity,525874311
"Mar 27, 2016, 11:14:04 PM",Activity,528516722
"Mar 28, 2016, 12:22:12 PM",Activity,528614183
"Mar 28, 2016, 12:23:27 PM",Activity,528542846
"Mar 28, 2016, 12:25:02 PM",Activity,528600609
"Mar 28, 2016, 12:26:42 PM",Activity,528510167
"Mar 28, 2016, 12:27:11 PM",Activity,528500108
"Mar 28, 2016, 12:27:32 PM",Activity,528483578
"Mar 28, 2016, 12:28:52 PM",Activity,528418625
"Mar 28, 2016, 12:29:05 PM",Activity,528407529
"Mar 28, 2016, 12:29:13 PM",Activity,528449366
"Mar 28, 2016, 12:29:17 PM",Activity,528359945
"Mar 28, 2016, 12:29:22 PM",Activity,528358778
"Mar 28, 2016, 12:29:28 PM",Activity,528346311
"Mar 28, 2016, 12:29:43 PM",Activity,528342504
"Mar 28, 2016, 12:30:02 PM",Activity,528315858
"Mar 28, 2016, 12:31:10 PM",Activity,528286635
"Mar 28, 2016, 12:31:35 PM",Activity,528259504
"Mar 28, 2016, 12:31:46 PM",Activity,528224185
"Mar 28, 2016, 12:32:03 PM",Activity,528208947
"Mar 28, 2016, 12:32:13 PM",Activity,528195232
"Mar 28, 2016, 12:32:21 PM",Activity,528162920
"Mar 28, 2016, 12:32:28 PM",Activity,528144505
"Mar 28, 2016, 12:32:49 PM",Activity,528510542
"Mar 28, 2016, 12:33:17 PM",Activity,527624637
"Mar 28, 2016, 12:33:22 PM",Activity,527632674
"Mar 28, 2016, 12:33:25 PM",Activity,527604832
"Mar 28, 2016, 12:33:26 PM",Activity,527731518
"Mar 28, 2016, 12:33:28 PM",Activity,528135997
"Apr 1, 2016, 1:05:12 PM",Activity,532487726
"Apr 3, 2016, 12:19:50 AM",Activity,533880227
"Apr 3, 2016, 12:20:11 AM",Activity,533983277
"Apr 3, 2016, 12:24:16 AM",Activity,533942053
"Apr 3, 2016, 12:25:01 AM",Activity,533922366
"Apr 3, 2016, 12:26:12 AM",Activity,533777646
"Apr 3, 2016, 12:26:14 AM",Activity,534020695
"Apr 3, 2016, 12:26:20 AM",Activity,533738793
"Apr 3, 2016, 12:26:28 AM",Activity,533955600
"Apr 3, 2016, 12:26:36 AM",Activity,534001500
"Apr 3, 2016, 12:26:38 AM",Activity,533793167
"Apr 3, 2016, 12:26:57 AM",Activity,533696308
"Apr 3, 2016, 12:27:05 AM",Activity,533592944
"Apr 3, 2016, 12:27:33 AM",Activity,533569344
"Apr 3, 2016, 12:27:41 AM",Activity,533628108
"Apr 3, 2016, 12:27:44 AM",Activity,533560367
"Apr 3, 2016, 12:27:59 AM",Activity,533560417
"Apr 3, 2016, 12:29:10 AM",Activity,533681635
"Apr 3, 2016, 12:29:37 AM",Activity,533472826
